date,turb,Q
5/24/2015,3.003125,515.9656971
5/25/2015,2.9875,510.9153863
5/26/2015,3.108333333,526.0518703
5/27/2015,2.840625,525.1402392
5/28/2015,2.698958333,507.648863
5/29/2015,3.398958333,497.5347109
5/30/2015,2.440625,492.9807565
5/31/2015,2.4375,466.3526226
6/1/2015,3.233333333,473.9106191
6/2/2015,2.933333333,473.6795033
6/3/2015,2.513541667,475.841221
6/4/2015,2.472916667,459.3212535
6/5/2015,2.44375,447.9957693
6/6/2015,2.814583333,430.8332939
6/7/2015,2.960416667,409.351664
6/8/2015,3.090625,399.7513681
6/9/2015,3.004166667,389.8808329
6/10/2015,3.063541667,395.5946139
6/11/2015,3,413.5586522
6/12/2015,3.109375,427.5482402
6/13/2015,3.161458333,387.130052
6/14/2015,3.145833333,368.2014322
6/15/2015,3.18125,361.5447423
6/16/2015,3.127083333,340.2900785
6/17/2015,3.694791667,340.8595174
6/18/2015,3.228125,333.6795041
6/19/2015,3.178125,321.3972547
6/20/2015,3.389583333,333.0338362
6/21/2015,3.067708333,337.2334703
6/22/2015,3.348958333,327.2049314
6/23/2015,3.204166667,336.4086555
6/24/2015,3.248958333,352.7653404
6/25/2015,3.195833333,355.1507661
6/26/2015,3.157291667,337.8311248
6/27/2015,2.932291667,354.038636
6/28/2015,3.032291667,360.1208331
6/29/2015,2.988541667,359.5008669
6/30/2015,2.889583333,346.2501367
7/1/2015,2.7625,311.467206
7/2/2015,2.779166667,294.3009186
7/3/2015,2.907291667,287.1311255
7/4/2015,2.672916667,281.5528366
7/5/2015,2.829166667,273.4569357
7/6/2015,2.53125,271.4403073
7/7/2015,2.594791667,268.4778514
7/8/2015,2.655208333,280.1163878
7/9/2015,2.527083333,292.4598614
7/10/2015,2.319791667,342.6148994
7/11/2015,2.264583333,352.1731662
7/12/2015,2.2875,339.9325132
7/13/2015,2.151041667,320.2895606
7/14/2015,2.16875,310.3940957
7/15/2015,2.484375,288.8153243
7/16/2015,2.563541667,289.2779074
7/17/2015,2.723958333,291.3268858
7/18/2015,2.63125,290.7786225
7/19/2015,2.667708333,292.5175038
7/20/2015,2.565625,274.0846358
7/21/2015,2.8125,290.8039853
7/22/2015,2.355208333,280.5982121
7/23/2015,2.375,287.7448924
7/24/2015,2.251041667,295.192036
7/25/2015,2.288541667,298.9553511
7/26/2015,2.238541667,318.5614041
7/27/2015,2.139583333,328.1468904
7/28/2015,2.035416667,323.9491514
7/29/2015,1.945833333,306.7054315
7/30/2015,1.991666667,293.3021849
7/31/2015,1.994791667,275.4572921
8/1/2015,1.952083333,272.6254219
8/2/2015,1.998958333,267.3958905
8/3/2015,2.182291667,259.8292716
8/4/2015,2.319791667,254.1879381
8/5/2015,2.216666667,257.6750381
8/6/2015,2.138541667,256.0823516
8/7/2015,2.052083333,268.9239369
8/8/2015,1.958333333,323.9979088
8/9/2015,1.908333333,347.2790569
8/10/2015,2.047916667,353.2248759
8/11/2015,2.247916667,332.459087
8/12/2015,3.580208333,318.9279778
8/13/2015,2.810416667,300.8680818
8/14/2015,6.146875,374.8656678
8/15/2015,6.872916667,393.6415752
8/16/2015,3.388541667,320.0821648
8/17/2015,3.966666667,308.8131517
8/18/2015,2.892708333,294.6295115
8/19/2015,3.023958333,294.0731807
8/20/2015,2.795833333,290.2315445
8/21/2015,2.8625,293.2633868
8/22/2015,2.515625,300.5711811
8/23/2015,2.4375,308.2176099
8/24/2015,2.539583333,306.1607472
8/25/2015,2.626041667,317.1223718
8/26/2015,2.925,318.8673188
8/27/2015,3.84375,322.8373536
8/28/2015,3.083333333,310.5249868
8/29/2015,4.978125,345.0748476
8/30/2015,8.805208333,564.9407585
8/31/2015,4.802083333,456.0205798
9/1/2015,3.794791667,380.7932592
9/2/2015,3.21875,381.1352098
9/3/2015,4.608333333,366.3925908
9/4/2015,2.85,360.2554618
9/5/2015,2.253125,369.3510769
9/6/2015,3.21875,393.5302596
9/7/2015,2.179166667,396.4811891
9/8/2015,2.983333333,389.5401021
9/9/2015,3.829166667,378.089605
9/10/2015,3.052083333,369.5131945
9/11/2015,2.541666667,357.2882858
9/12/2015,2.055208333,349.5497434
9/13/2015,2.134375,360.2692493
9/14/2015,2.091666667,357.8979125
9/15/2015,2.4625,363.5651419
9/16/2015,2.39375,366.4597129
9/17/2015,2.441666667,380.7709667
9/18/2015,2.057291667,377.8300028
9/19/2015,1.960416667,383.2656836
9/20/2015,1.995833333,400.0094465
9/21/2015,2.669791667,422.7492166
9/22/2015,2.241304348,423.2785859
9/23/2015,,496.7545833
9/24/2015,2.925,517.0652103
9/25/2015,3.191666667,527.2890135
9/26/2015,3.407291667,511.6851494
9/27/2015,3.18125,498.432617
9/28/2015,2.940625,495.2894595
9/29/2015,2.776041667,492.7355066
9/30/2015,2.528125,495.1044133
10/1/2015,2.419791667,500.0635103
10/2/2015,2.41875,495.319093
10/3/2015,2.441666667,509.7410639
10/4/2015,2.438541667,505.7161299
10/5/2015,2.111458333,501.2255153
10/6/2015,2.163541667,516.0618817
10/7/2015,3.228125,567.0062613
10/8/2015,3.269791667,591.9532107
10/9/2015,2.751041667,587.9369873
10/10/2015,7.415625,709.265532
10/11/2015,7.771875,769.4545707
10/12/2015,3.883333333,672.1332054
10/13/2015,3.3625,659.742533
10/14/2015,2.625,612.4433594
10/15/2015,2.29375,597.6623979
10/16/2015,2.201041667,588.8894219
10/17/2015,2.002083333,586.4568744
10/18/2015,2.245833333,599.0815788
10/19/2015,2.366666667,612.4416998
10/20/2015,2.0375,598.0411902
10/21/2015,2.005208333,575.4325692
10/22/2015,2.151041667,561.5947631
10/23/2015,2.109375,533.5898772
10/24/2015,2.0125,508.3322468
10/25/2015,3.098958333,519.8058146
10/26/2015,3.913541667,586.4900143
10/27/2015,2.857291667,579.5935204
10/28/2015,2.548958333,537.0052447
10/29/2015,2.555208333,553.7338749
10/30/2015,3.592708333,672.4685176
10/31/2015,22.62083333,1816.819153
11/1/2015,76.16666667,5124.354031
11/2/2015,64.88541667,5972.286313
11/3/2015,44.36458333,5212.496771
11/4/2015,27.91666667,3474.324698
11/5/2015,17.61458333,2610.344552
11/6/2015,11.80208333,1994.667427
11/7/2015,9.694791667,1820.86151
11/8/2015,8.689583333,1843.501771
11/9/2015,7.948958333,1858.430198
11/10/2015,7.788541667,1660.644865
11/11/2015,6.883333333,1563.663563
11/12/2015,6.766666667,1489.205222
11/13/2015,10.38645833,1781.732344
11/14/2015,60.6875,5567.801021
11/15/2015,67.94791667,7919.179094
11/16/2015,40.63541667,7288.269188
11/17/2015,31.10416667,5347.774958
11/18/2015,158.3333333,8041.583427
11/19/2015,207.6041667,8452.153112
11/20/2015,133.9583333,7248.838701
11/21/2015,96.89583333,5959.896877
11/22/2015,59.73958333,5328.649126
11/23/2015,38.36458333,4767.482113
11/24/2015,31.30208333,3629.108248
11/25/2015,33.15625,2496.284933
11/26/2015,21.69791667,1780.42324
11/27/2015,13.52083333,1545.276397
11/28/2015,10.990625,1453.450543
11/29/2015,10.159375,1399.327348
11/30/2015,7.298958333,1350.33133
12/1/2015,7.00625,1373.317563
12/2/2015,11.31458333,1519.48188
12/3/2015,11.95729167,1539.844521
12/4/2015,15.61458333,1451.147641
12/5/2015,12.85416667,1502.262456
12/6/2015,14.20833333,1805.029742
12/7/2015,32.66666667,2157.518341
12/8/2015,63.94791667,4918.988143
12/9/2015,162.4166667,9311.769926
12/10/2015,199.0625,10351.52759
12/11/2015,167.0833333,10352.96982
12/12/2015,114.7291667,9362.659626
12/13/2015,78.66666667,8547.749274
12/14/2015,55.55208333,7129.34405
12/15/2015,42.91666667,5742.461509
12/16/2015,33.80208333,5116.431941
12/17/2015,36.53125,4542.462583
12/18/2015,53.03125,4260.960161
12/19/2015,28.57291667,3879.733181
12/20/2015,17.88541667,3406.156725
12/21/2015,16.84375,3348.445
12/22/2015,26.96875,3995.099382
12/23/2015,19.69791667,3521.811693
12/24/2015,16.70833333,3258.179083
12/25/2015,12.97916667,2972.981779
12/26/2015,11.09166667,2693.748672
12/27/2015,10.0375,2487.06085
12/28/2015,9.542708333,2449.179986
12/29/2015,8.469791667,2290.694842
12/30/2015,9.238541667,2008.677154
12/31/2015,8.820833333,1824.274971
1/1/2016,7.859375,1624.609004
1/2/2016,7.745833333,1507.534814
1/3/2016,7.602083333,1460.51475
1/4/2016,7.788541667,1494.125065
