"CurSim","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
10,"propMissAct_0.67_autoCorr_0.92","MAR","Multiple imputations","sigma",2.7870082739672,"P",NA
1,"y","MAR","Data Deletion","ar1",0.713861387683767,"A",0.0388696210296307
1,"propMissAct_0.08_autoCorr_0.08","MAR","Data Deletion","ar1",0.698751430203633,"B",0.0407048556830894
1,"propMissAct_0.1_autoCorr_0.01","MAR","Data Deletion","ar1",0.697234718318306,"C",0.0421332178836932
1,"propMissAct_0.16_autoCorr_0.06","MAR","Data Deletion","ar1",0.672273852537196,"D",0.0452016642896769
1,"propMissAct_0.2_autoCorr_0.05","MAR","Data Deletion","ar1",0.703138767435561,"E",0.0425473742840621
1,"propMissAct_0.25_autoCorr_0","MAR","Data Deletion","ar1",0.662730580316709,"F",0.0477398434841389
1,"propMissAct_0.29_autoCorr_0.03","MAR","Data Deletion","ar1",0.649554221212539,"G",0.0516612890424065
1,"propMissAct_0.37_autoCorr_0.04","MAR","Data Deletion","ar1",0.702004764274063,"H",0.0488209824352646
1,"propMissAct_0.38_autoCorr_0.04","MAR","Data Deletion","ar1",0.781641191234086,"I",0.0425407756877958
