"missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
"propMissAct_0.68","MNAR","Kalman filter","light",0.00616564617766419,"N",0.0010725415557553
"propMissAct_0.72","MNAR","Kalman filter","light",0.00462945539470945,"O",0.00108137547407619
"propMissAct_0.76","MNAR","Kalman filter","light",0.00278177187622842,"P",0.00109011973097354
"y","MNAR","Kalman filter","discharge",-1.64415428414994,"A",0.518931770378043
"propMissAct_0.07","MNAR","Kalman filter","discharge",-1.45278073897673,"B",0.464153954906626
"propMissAct_0.1","MNAR","Kalman filter","discharge",-1.29672278500557,"C",0.45230217502679
"propMissAct_0.13","MNAR","Kalman filter","discharge",-0.875505447014913,"D",0.469514984803652
"propMissAct_0.2","MNAR","Kalman filter","discharge",-5.12100386703837,"E",0.780713867906962
"propMissAct_0.25","MNAR","Kalman filter","discharge",-3.7304926378219,"F",1.03349999813295
"propMissAct_0.35","MNAR","Kalman filter","discharge",-2.80381810430909,"G",1.15963358185565
"propMissAct_0.41","MNAR","Kalman filter","discharge",-1.80104624717197,"H",1.08781645869
"propMissAct_0.46","MNAR","Kalman filter","discharge",-0.501341712333454,"I",1.07279433751479
"propMissAct_0.51","MNAR","Kalman filter","discharge",-0.678530702185225,"J",1.05002613360891
"propMissAct_0.57","MNAR","Kalman filter","discharge",2.55422474558594,"K",0.971228437082002
"propMissAct_0.62","MNAR","Kalman filter","discharge",2.21845868986195,"L",0.916795128932791
"propMissAct_0.66","MNAR","Kalman filter","discharge",2.00968580044933,"M",0.847444452788547
"propMissAct_0.68","MNAR","Kalman filter","discharge",1.95610774262237,"N",0.830163212799535
"propMissAct_0.72","MNAR","Kalman filter","discharge",1.03557599766211,"O",0.808859626125981
"propMissAct_0.76","MNAR","Kalman filter","discharge",0.989835101479127,"P",0.725223628088058
"y","MNAR","Kalman filter","sigma",1.41367638328014,"A",NA
"propMissAct_0.07","MNAR","Kalman filter","sigma",1.10027729922182,"B",NA
"propMissAct_0.1","MNAR","Kalman filter","sigma",1.01599215841877,"C",NA
"propMissAct_0.13","MNAR","Kalman filter","sigma",0.909373267669831,"D",NA
"propMissAct_0.2","MNAR","Kalman filter","sigma",0.627839004146529,"E",NA
"propMissAct_0.25","MNAR","Kalman filter","sigma",0.578235123861317,"F",NA
"propMissAct_0.35","MNAR","Kalman filter","sigma",0.531348743606131,"G",NA
"propMissAct_0.41","MNAR","Kalman filter","sigma",0.445485551415356,"H",NA
"propMissAct_0.46","MNAR","Kalman filter","sigma",0.43555324719687,"I",NA
"propMissAct_0.51","MNAR","Kalman filter","sigma",0.38175996930624,"J",NA
"propMissAct_0.57","MNAR","Kalman filter","sigma",0.282117535295336,"K",NA
"propMissAct_0.62","MNAR","Kalman filter","sigma",0.245046752114954,"L",NA
"propMissAct_0.66","MNAR","Kalman filter","sigma",0.205542098872728,"M",NA
"propMissAct_0.68","MNAR","Kalman filter","sigma",0.200922776804209,"N",NA
"propMissAct_0.72","MNAR","Kalman filter","sigma",0.143845005533207,"O",NA
"propMissAct_0.76","MNAR","Kalman filter","sigma",0.127646804146145,"P",NA
"y","MNAR","Multiple imputations","ar1",0.713294493325948,"A",0.0397708497580709
"propMissAct_0.07","MNAR","Multiple imputations","ar1",0.566187003261956,"B",0.0572219267035657
"propMissAct_0.1","MNAR","Multiple imputations","ar1",0.477498556097945,"C",0.0703433888378375
"propMissAct_0.13","MNAR","Multiple imputations","ar1",0.451219616683523,"D",0.0645978995189448
"propMissAct_0.2","MNAR","Multiple imputations","ar1",0.433792286662465,"E",0.0638812537274189
"propMissAct_0.25","MNAR","Multiple imputations","ar1",0.409212154606535,"F",0.0932724599845879
"propMissAct_0.35","MNAR","Multiple imputations","ar1",0.313424307120053,"G",0.065839948836887
"propMissAct_0.41","MNAR","Multiple imputations","ar1",0.302556145684638,"H",0.075913155128454
"propMissAct_0.46","MNAR","Multiple imputations","ar1",0.257410806802534,"I",0.0937850826442656
"propMissAct_0.51","MNAR","Multiple imputations","ar1",0.198232260511403,"J",0.0647655133746044
"propMissAct_0.57","MNAR","Multiple imputations","ar1",0.193533000780742,"K",0.0696158472053736
"propMissAct_0.62","MNAR","Multiple imputations","ar1",0.103361469567541,"L",0.0859192721542499
"propMissAct_0.66","MNAR","Multiple imputations","ar1",0.095436543295738,"M",0.0719765201478264
"propMissAct_0.68","MNAR","Multiple imputations","ar1",0.119530341270816,"N",0.0602417631389347
"propMissAct_0.72","MNAR","Multiple imputations","ar1",0.139143178092619,"O",0.072129239368422
"propMissAct_0.76","MNAR","Multiple imputations","ar1",0.122234846733769,"P",0.0930754517316916
"y","MNAR","Multiple imputations","intercept",2.09591392844565,"A",0.425945455414734
"propMissAct_0.07","MNAR","Multiple imputations","intercept",1.86913914316696,"B",0.367563717354365
"propMissAct_0.1","MNAR","Multiple imputations","intercept",1.61793063325941,"C",0.323616139639477
"propMissAct_0.13","MNAR","Multiple imputations","intercept",1.50803972865231,"D",0.307679936942503
"propMissAct_0.2","MNAR","Multiple imputations","intercept",1.38429071793441,"E",0.457475882183401
"propMissAct_0.25","MNAR","Multiple imputations","intercept",1.06873619087398,"F",0.540398873253174
"propMissAct_0.35","MNAR","Multiple imputations","intercept",1.27340990391249,"G",0.456953760364147
"propMissAct_0.41","MNAR","Multiple imputations","intercept",1.1699450633196,"H",0.455503152891268
"propMissAct_0.46","MNAR","Multiple imputations","intercept",1.76399595627109,"I",0.553054730754383
"propMissAct_0.51","MNAR","Multiple imputations","intercept",1.71516075805557,"J",0.369293654468578
"propMissAct_0.57","MNAR","Multiple imputations","intercept",1.20182823127683,"K",0.417900305409749
"propMissAct_0.62","MNAR","Multiple imputations","intercept",1.9135929354055,"L",0.489790810597039
"propMissAct_0.66","MNAR","Multiple imputations","intercept",2.34815521121276,"M",0.732148860353907
"propMissAct_0.68","MNAR","Multiple imputations","intercept",2.15467163757916,"N",0.564923516450991
"propMissAct_0.72","MNAR","Multiple imputations","intercept",2.73279494584484,"O",0.166675541754249
"propMissAct_0.76","MNAR","Multiple imputations","intercept",3.2339868485985,"P",0.85871656769687
"y","MNAR","Multiple imputations","light",0.0149956168595372,"A",0.00170092690903313
"propMissAct_0.07","MNAR","Multiple imputations","light",0.0149146158710372,"B",0.00147291054259438
"propMissAct_0.1","MNAR","Multiple imputations","light",0.0150954223330239,"C",0.00126277419751185
"propMissAct_0.13","MNAR","Multiple imputations","light",0.0146584082825998,"D",0.00109168193027124
"propMissAct_0.2","MNAR","Multiple imputations","light",0.0143609954425007,"E",0.00093586463724146
"propMissAct_0.25","MNAR","Multiple imputations","light",0.0140486928024017,"F",0.00129025001145566
"propMissAct_0.35","MNAR","Multiple imputations","light",0.0118807560712543,"G",0.00101073295823738
"propMissAct_0.41","MNAR","Multiple imputations","light",0.0112886464311137,"H",0.000910985009969209
"propMissAct_0.46","MNAR","Multiple imputations","light",0.00959275332218627,"I",0.000810013853287283
"propMissAct_0.51","MNAR","Multiple imputations","light",0.00908948061100296,"J",0.000917325484982933
"propMissAct_0.57","MNAR","Multiple imputations","light",0.00894812378722948,"K",0.000941823754344552
"propMissAct_0.62","MNAR","Multiple imputations","light",0.00751697974412252,"L",0.000728900302656862
"propMissAct_0.66","MNAR","Multiple imputations","light",0.00544633364923568,"M",0.00110664246685385
"propMissAct_0.68","MNAR","Multiple imputations","light",0.00515699748454126,"N",0.000866384762979618
"propMissAct_0.72","MNAR","Multiple imputations","light",0.00404001731742017,"O",0.000544658524664856
"propMissAct_0.76","MNAR","Multiple imputations","light",0.0030434822558308,"P",0.00201167230164841
"y","MNAR","Multiple imputations","discharge",-1.56386990062654,"A",0.54883859949153
"propMissAct_0.07","MNAR","Multiple imputations","discharge",-1.39248336799115,"B",0.514759518800537
"propMissAct_0.1","MNAR","Multiple imputations","discharge",-1.07369663902553,"C",0.494425953230435
"propMissAct_0.13","MNAR","Multiple imputations","discharge",-0.547834954064796,"D",0.636435977705816
"propMissAct_0.2","MNAR","Multiple imputations","discharge",-0.0851249802583152,"E",1.31137788340476
"propMissAct_0.25","MNAR","Multiple imputations","discharge",1.24339191110403,"F",1.30197234639361
"propMissAct_0.35","MNAR","Multiple imputations","discharge",1.83297734901568,"G",1.28323844985459
"propMissAct_0.41","MNAR","Multiple imputations","discharge",2.47824912761016,"H",1.14996312659155
"propMissAct_0.46","MNAR","Multiple imputations","discharge",1.64821050113921,"I",1.73382154092672
"propMissAct_0.51","MNAR","Multiple imputations","discharge",2.04143503968464,"J",0.892731123314207
"propMissAct_0.57","MNAR","Multiple imputations","discharge",3.7158456598744,"K",1.17799057974142
"propMissAct_0.62","MNAR","Multiple imputations","discharge",2.36065003293029,"L",1.1897849795739
"propMissAct_0.66","MNAR","Multiple imputations","discharge",2.36989619930094,"M",1.78460023209842
"propMissAct_0.68","MNAR","Multiple imputations","discharge",3.33453406910148,"N",1.38358394997556
"propMissAct_0.72","MNAR","Multiple imputations","discharge",2.12805708982352,"O",0.438706659700877
"propMissAct_0.76","MNAR","Multiple imputations","discharge",1.28231757401588,"P",1.50810516584128
"y","MNAR","Multiple imputations","sigma",1.45756427120508,"A",NA
"propMissAct_0.07","MNAR","Multiple imputations","sigma",1.30788172358898,"B",NA
"propMissAct_0.1","MNAR","Multiple imputations","sigma",1.18872553696937,"C",NA
"propMissAct_0.13","MNAR","Multiple imputations","sigma",1.12494612856676,"D",NA
"propMissAct_0.2","MNAR","Multiple imputations","sigma",0.883878312276326,"E",NA
"propMissAct_0.25","MNAR","Multiple imputations","sigma",0.846217403183869,"F",NA
"propMissAct_0.35","MNAR","Multiple imputations","sigma",0.787464075123345,"G",NA
"propMissAct_0.41","MNAR","Multiple imputations","sigma",0.61520112077683,"H",NA
"propMissAct_0.46","MNAR","Multiple imputations","sigma",0.604875046700936,"I",NA
"propMissAct_0.51","MNAR","Multiple imputations","sigma",0.50995657342296,"J",NA
"propMissAct_0.57","MNAR","Multiple imputations","sigma",0.365673991752923,"K",NA
"propMissAct_0.62","MNAR","Multiple imputations","sigma",0.322557680970696,"L",NA
"propMissAct_0.66","MNAR","Multiple imputations","sigma",0.291904640229158,"M",NA
"propMissAct_0.68","MNAR","Multiple imputations","sigma",0.254419368303451,"N",NA
"propMissAct_0.72","MNAR","Multiple imputations","sigma",0.241733650692826,"O",NA
"propMissAct_0.76","MNAR","Multiple imputations","sigma",0.164176305117526,"P",NA
