County,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Lafayette,12.03671275,178.484015,32.97171659,114.4447998,112.3759793,233.5451613,9.810483871,98.121802,38.328053,22.96615783,115.8074597,19.33050612,45.87788018,128.2632488,52.97235023,49.98136819,33.06710829,32.40437788,61.65221774,37.19313126,133.4294355,16.16585061,11.58942972,28.03197998,54.32531682,51.83309332,92.52160138,184.7518076,96.05688364,114.546659,111.2844182,26.4381257,90.50207373,143.6895449,62.31466014,21.9422043
Langlade,129.4190476,367.8244816,177.1428091,265.0883667,165.0841494,528.9602151,146.031658,245.4175687,213.2398714,112.3484543,208.1733391,259.8882555,270.328533,223.8639928,94.31180556,371.8023498,349.643462,156.5650922,248.7053571,148.93604,264.2172619,79.71471774,59.77318548,173.977025,140.4354423,204.3250768,79.26639081,210.9640403,176.546179,128.4392647,170.6084389,85.55951057,179.2381432,354.6136713,159.0860215,112.4791898
Lincoln,109.3887481,334.256538,188.3187116,236.5110122,134.8206369,453.7196141,80.43894009,192.6659251,191.327909,143.8099558,176.015121,214.3751145,213.9756624,150.7800979,55.06242512,218.3469596,307.3166763,62.51857719,171.5332181,150.6256952,202.3237807,34.44282465,58.74054339,162.8307842,100.2458237,111.5168971,87.96236559,313.3645717,150.5074885,157.1905242,259.3634793,120.5637282,172.2842262,438.2352631,204.0206413,98.49258435
Manitowoc,48.05418587,418.4579282,74.12417915,89.93478865,172.3864055,192.206826,27.78989055,98.38403782,80.75330261,72.85829493,59.76335253,25.61512792,85.85699885,187.1382488,50.2155818,132.7829533,62.45454545,15.92585125,0,12.89166667,106.6191856,12.69354839,20.36339286,233.3138673,62.16281682,59.29406682,92.54320276,110.3054783,141.0567396,64.88868088,126.7360609,23.93488729,80.52536162,187.5829349,43.76017665,68.79330738
Marathon,61.04437404,331.6278965,104.0239247,195.9653087,91.16663786,340.3094278,57.55099846,142.0952911,168.1605223,138.8474942,248.7779858,161.232805,227.4756624,142.2489919,67.01891321,217.1071932,295.7071141,74.23199885,125.3658458,89.54903133,166.0845142,28.15798291,52.69935676,167.3998192,141.7628936,85.45864535,88.2015025,302.0558815,275.0405749,133.9204212,293.3899002,89.58035913,212.5595766,385.5665611,136.8985695,108.5947627
Marinette,134.7871224,431.3464286,107.1806356,242.8739618,161.9567012,483.5639785,65.14156106,284.7688949,246.6000384,162.1490103,172.4557565,216.9125417,158.1936924,197.5301651,42.5640841,282.1389043,333.3115063,115.2260993,167.4519153,120.8958565,200.2693836,69.51215918,87.45365303,243.0608778,141.9112423,174.297115,92.18889689,221.8261402,199.3611607,136.2931596,145.7046227,27.43339822,162.7202909,274.8580885,103.2318692,91.3244809
Marquette,NA,NA,67.29640146,127.0025899,118.7991359,317.9903226,29.76906881,133.2377642,72.72580645,37.19786866,191.4648618,28.62513904,113.9035138,151.7582565,52.12442396,147.4830367,100.8332373,74.95593318,90.28667435,37.57730812,190.2411175,24.10282258,29.01468894,79.19619021,51.6797235,39.82704493,64.82402074,260.9022525,201.3868088,164.7698733,242.5244816,26.10595106,122.265553,172.9423195,53.73934332,83.61874305
Milwaukee,47.43804403,173.2423387,37.62692012,56.03515944,140.9680492,61.52098694,7.144201229,62.46301446,29.77275346,28.57632488,38.4094182,16.05742492,48.92929147,123.0030242,41.24020737,39.15002781,32.02577765,46.33698157,70.61539939,33.2059696,132.9897273,17.04541091,16.28629032,59.01038191,51.11417531,33.44383641,83.371851,145.593563,82.63944321,75.07085653,107.4820646,17.12691736,56.35040963,155.261908,75.27564164,36.94958132
Monroe,25.62922427,264.0005184,71.47773618,143.4118187,99.31751152,269.1954832,31.92165899,87.75750834,20.82258065,18.11482335,185.1906682,55.95550612,146.1903802,117.5452189,26.57834101,197.6276418,165.671947,63.19542051,123.5131048,37.87694661,197.4949597,28.36203917,34.5843894,52.12055061,53.70492512,49.51929724,64.88993429,242.3395439,132.7135657,201.4290035,186.1928283,26.3912449,104.3761521,176.5279378,48.61909562,84.33870968
Oconto,138.4644649,331.9216206,93.00408986,199.5517519,137.5955261,351.7985311,106.672379,238.8992399,192.624808,163.1732431,174.9470526,145.273591,168.1025826,185.7680012,53.47748656,331.9909622,362.1272561,164.6030146,191.8250768,146.5859752,222.0583237,41.86813556,71.05414747,218.7480534,160.1844278,191.5743088,67.90089766,263.2522108,216.4952765,165.8650586,217.6067684,55.90963107,183.2784706,323.9603495,97.96800595,95.67236745
Oneida,177.9697235,364.4391387,225.3277364,283.4951261,198.405433,490.783101,137.1838116,188.5278458,257.3571429,225.2793875,162.6490591,275.357411,282.9286098,196.8072581,117.3939708,428.2697256,514.8581029,221.5645113,293.9793587,199.4884687,329.5839286,160.1180876,108.1150442,328.3005562,296.9566772,299.5408266,122.8033074,323.2093344,215.1246976,228.4106759,212.3341062,197.2332247,213.1565043,472.5183604,264.5541629,134.2871757
Outagamie,61.8125192,236.7386809,57.71940284,113.0603726,100.7296793,299.2367031,23.23151882,122.2513441,56.1312884,39.66901882,91.85723886,31.07726177,48.18389977,106.8227727,35.23012673,87.95536707,101.687308,86.26324885,54.33203725,88.90878754,140.4922235,36.26670507,34.55731567,82.85469967,86.13968894,73.96817396,70.35359063,229.5386958,227.5424587,140.9764641,192.2709533,24.18020022,137.1956605,303.2711454,51.56534178,104.270736
Ozaukee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.262761093,63.3781106,116.8358295,43.8921371,41.47580645,55.96548248,72.38378456,62.81710829,16.16115128,150.9254032,19.5593318,6.791906682,38.66023843,NA,NA,8.625,264.8538919,157.4515169,126.6042435,139.1315092,16.54801168,84.59778706,159.9544931,62.42276306,42.18233222
Pepin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.83474231,128.8888889,133.375,0,0,NA,0,0,0,NA,0,NA,NA,0,0,75.46457373,176.265585,172.599551,188.3998507,337.1208265,57.3989899,142.1388652,325.8333333,139.5,54.08974359
Pierce,35.60698285,285.4829781,119.716033,311.1782536,112.9161194,340.8682892,15.61009505,98.09315907,164.31178,35.77515361,85.27851382,120.9034344,197.9996256,111.0265553,65.4468606,126.4517056,276.0572623,53.65244082,95.30174731,93.74805339,223.9160426,29.78125,28.59889461,131.6325617,50.78452381,68.31226326,35.20126452,177.1663531,120.1707248,198.9490687,298.4296563,22.79674903,161.0629944,281.3671632,76.41085829,100.0112923
Polk,41.07016129,373.5599654,175.7918491,346.0361513,103.7178859,343.9981567,54.79291475,195.7219132,239.0040323,44.57603687,120.9768145,219.993743,160.4025058,223.3270449,82.390697,254.2743326,390.9622696,66.87279186,117.6262961,98.85766593,281.8657834,60.00494432,70.14319316,140.9927697,69.91186636,122.3161002,66.76944124,164.9070263,143.3847926,160.1727727,262.859375,36.8372729,187.9493376,406.5465246,71.56291283,74.96784854
