"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"1892",127.5,127,0.524656991879496,0.00325182021409273,29,1892,0,0.1,0.2,0.07,"0.500291757405977",0.00306089597774152,0.0762287562975078,0.000477267426107107,0.349697926333369,0.00211915654496472,0.648510443864141,0.00399001443327558
"1893",127.6,127,0.524656991879496,0.00325182021409273,29,1893,0,0.15,0.01,0.22,"0.502841641353875",0.0030891827018967,0.0741221211800466,0.000465685460479098,0.356461859175181,0.00217066785174509,0.64701618922026,0.0039961231766532
"1894",127.7,127,0.524656991879496,0.00325182021409273,29,1894,0,0.2,0.27,0.2,"0.529753720519222",0.00323717220504886,0.079878494117154,0.000499106370932082,0.37181070890614,0.00225139928758196,0.684929773313352,0.00420786263080872
"1895",127.8,127,0.524656991879496,0.00325182021409273,29,1895,0,0.25,0.17,0.28,"0.458808499372568",0.00279339783327935,0.0745989209140107,0.000463561336519865,0.311574074266879,0.00187960935264392,0.604000301012727,0.00369675796174627
"1896",127.9,127,0.524656991879496,0.00325182021409273,29,1896,0,0.3,0.09,0.28,"0.44764370085648",0.00274814064386611,0.0762836657651298,0.000478705745175258,0.297123983948682,0.00180474402732797,0.596148934708996,0.0036812229056696
"1897",127.1,127,0.524656991879496,0.00325182021409273,29,1897,0,0.35,0.07,0.32,"0.462971243638954",0.0028328438001837,0.0734356639875842,0.000460536342426522,0.317870479122682,0.00192399770989771,0.605739090412693,0.00372930205759028
"1898",127.11,127,0.524656991879496,0.00325182021409273,29,1898,0,0.4,0.07,0.32,"0.463283877140906",0.00285617756608452,0.075297854490758,0.000475283249111199,0.314643004090777,0.00191911599386382,0.609806287327556,0.00378219561081922
"1899",127.12,127,0.524656991879496,0.00325182021409273,29,1899,0,0.45,0.03,0.57,"0.508038107768521",0.0031688970750434,0.0750248188536479,0.000476506199146726,0.360102376203297,0.00223052866422293,0.654192968240267,0.00409838810104851
"1900",127.13,127,0.524656991879496,0.00325182021409273,29,1900,0,0.5,0.05,0.48,"0.49404222955462",0.00299631455590335,0.0750881264283675,0.000464398150523611,0.345884055445871,0.00208112133335023,0.640226183055146,0.00390153899750368
"1901",127.14,127,0.524656991879496,0.00325182021409273,29,1901,0,0.55,NA,0.6,"0.6775926692348",0.00428494526369829,0.0721912518741415,0.000463566524673214,0.53521684629681,0.00337192392981081,0.818199609432587,0.00518905667031102
"1902",127.15,127,0.524656991879496,0.00325182021409273,29,1902,0,0.6,0.08,0.63,"0.638855957975867",0.00413354528752922,0.05645987031341,0.000372199532983972,0.52749991252512,0.00340074657527734,0.748822465806854,0.00485976580388422
"1903",127.16,127,0.524656991879496,0.00325182021409273,29,1903,0,0.65,0.2,0.72,"0.404810920477311",0.00236739490608023,0.0555830424920515,0.000332951690691153,0.295468734388245,0.0017135409211918,0.513347483606099,0.00301866914467243
"1904",127.17,127,0.524656991879496,0.00325182021409273,29,1904,0,0.7,0.02,0.68,"1.27301154052975",0.00775098703504117,0.0645575551135188,0.00040757239212013,1.1460769314946,0.00695076213360617,1.39913879593042,0.00854842137629585
"1905",127.18,127,0.524656991879496,0.00325182021409273,29,1905,0,0.75,0.07,0.67,"0.479269976261737",0.00289891135647988,0.0743341595963679,0.000459256539295702,0.33259170217738,0.00199382603346253,0.623974335518786,0.00379406333786971
"1906",128,128,0.289798798671587,0.00685536635131575,20,1906,0,0.05,0.46,0.07,"0.320895328271734",0.00812191434019483,0.0919447649904958,0.00231028934169128,0.140288020866966,0.00360634535910232,0.500723218825754,0.0126630269493725
"1907",128.5,128,0.289798798671587,0.00685536635131575,20,1907,0,0.1,0.13,0.13,"0.363605273929929",0.00912490631501066,0.0956073227674094,0.00238541737980232,0.175864444523194,0.00446282647975492,0.550656137796811,0.0138139828376444
"1908",128.6,128,0.289798798671587,0.00685536635131575,20,1908,0,0.15,0.07,0.1,"0.332767560364389",0.00831576547782638,0.092650737339305,0.00229982439906406,0.150708263188082,0.00381837354629307,0.513912437084295,0.0128340694704167
"1909",128.7,128,0.289798798671587,0.00685536635131575,20,1909,0,0.2,0.11,0.22,"0.398287010144803",0.0101038664766544,0.0926273789739983,0.00232740397293803,0.216117300000803,0.00554852933090977,0.579228198330283,0.0146722924186637
"1910",128.8,128,0.289798798671587,0.00685536635131575,20,1910,0,0.25,0.31,0.27,"0.355026144195491",0.00896750631515803,0.0885595793602422,0.00222269468599587,0.180933308610945,0.00462038497612517,0.528094343994962,0.0133335760423934
"1911",128.9,128,0.289798798671587,0.00685536635131575,20,1911,0,0.3,0.2,0.3,"0.379330133698473",0.00944623908050492,0.0979509030729228,0.00242821208020121,0.186804830686899,0.00469491346214592,0.570784064649665,0.0142138386797784
"1912",128.1,128,0.289798798671587,0.00685536635131575,20,1912,0,0.35,0.02,0.33,"0.507601604709182",0.0125412069155217,0.093022486010811,0.00229358508373063,0.324818533022402,0.00805574899795715,0.689476071861079,0.0170468757921703
"1913",128.11,128,0.289798798671587,0.00685536635131575,20,1913,0,0.4,0.01,0.47,"0.277025351780409",0.00703421860953141,0.0838737893383922,0.0021137993842149,0.111975777543622,0.00289712529998118,0.44076751043591,0.0111834210472549
"1914",128.12,128,0.289798798671587,0.00685536635131575,20,1914,0,0.45,0.13,0.43,"0.66639615178086",0.0168425217030831,0.109741671349677,0.00277497448446463,0.450636191856312,0.0114082833110306,0.88082271110817,0.0222861729129778
"1915",128.13,128,0.289798798671587,0.00685536635131575,20,1915,0,0.5,0.02,0.52,"0.303167325346821",0.00745205617378318,0.0816471814398417,0.00198503375782742,0.142513602108024,0.00356728030606688,0.462577911820985,0.0113488337413913
"1916",128.14,128,0.289798798671587,0.00685536635131575,20,1916,0,0.55,0.04,0.43,"0.386867501706321",0.00978928479672413,0.0883444933140781,0.00220882318820746,0.213324424432627,0.00547270858820196,0.559642459700223,0.014131528677544
"1917",128.15,128,0.289798798671587,0.00685536635131575,20,1917,0,0.6,0.07,0.6,"0.554564951838008",0.0138490713004268,0.108042672758824,0.00270445453484172,0.342056442168589,0.00855100754273155,0.765589103450522,0.0191526235071092
"1918",128.16,128,0.289798798671587,0.00685536635131575,20,1918,0,0.65,0.03,0.78,"0.543453149902591",0.0152701079751704,0.0940015191506452,0.00273215894817655,0.358497880415072,0.00992177990034263,0.72701102308719,0.0206326712409296
"1919",128.17,128,0.289798798671587,0.00685536635131575,20,1919,0,0.7,0.04,0.75,"0.238789952455785",0.00545591831828419,0.0711546147065315,0.00160084750769202,0.0987863145157943,0.00232470887853221,0.377720179219646,0.00860025219560099
"1920",128.18,128,0.289798798671587,0.00685536635131575,20,1920,0,0.75,0.17,0.68,"0.985696929343804",0.0240245532857218,0.0880955176645765,0.00214393527236253,0.812013972501249,0.0198169181197476,1.15735366324219,0.0282212803645012
"1921",129,129,0.0733018545221989,0.00812203082884662,24,1921,0,0.05,0.3,0.05,"population extinction",NA,NA,NA,NA,NA,NA,NA
"1922",129.5,129,0.0733018545221989,0.00812203082884662,24,1922,0,0.1,0.13,0.08,"population extinction",NA,NA,NA,NA,NA,NA,NA
"1923",129.6,129,0.0733018545221989,0.00812203082884662,24,1923,0,0.15,0.04,0.17,"population extinction",NA,NA,NA,NA,NA,NA,NA
"1924",129.7,129,0.0733018545221989,0.00812203082884662,24,1924,0,0.2,0.07,0.1,"population extinction",NA,NA,NA,NA,NA,NA,NA
"1925",129.8,129,0.0733018545221989,0.00812203082884662,24,1925,0,0.25,0.25,0.23,"population extinction",NA,NA,NA,NA,NA,NA,NA
"1926",129.9,129,0.0733018545221989,0.00812203082884662,24,1926,0,0.3,0.25,0.23,"population extinction",NA,NA,NA,NA,NA,NA,NA
"1927",129.1,129,0.0733018545221989,0.00812203082884662,24,1927,0,0.35,0.18,0.4,"population extinction",NA,NA,NA,NA,NA,NA,NA
