"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"6936","963.2.5",963,0.49692582569835,0.00866027950192802,18,44436,0.7,0.3,0.73,0.25,"0.539612707295506",0.00903052480573335,0.0888925570252929,0.00149274172130066,0.364164583856634,0.00609308209501611,0.712624730203796,0.0119446471299774
"6937","963.2.6",963,0.49692582569835,0.00866027950192802,18,44437,0.7,0.35,0.51,0.63,"0.634939521174945",0.0110623863626819,0.0921423501808057,0.0016026039605405,0.453239948895762,0.00791160101684022,0.814434425746216,0.0141937390916596
"6938","963.2.7",963,0.49692582569835,0.00866027950192802,18,44438,0.7,0.4,0.57,0.18,"0.514602567548896",0.00853684278051102,0.0971546287969031,0.00163195967175537,0.322774602005199,0.00532335244449985,0.703620706517618,0.0117206242749546
"6939","963.2.8",963,0.49692582569835,0.00866027950192802,18,44439,0.7,0.45,0.58,0.48,"0.496751439855477",0.00831399386466123,0.0816356582490127,0.00137382957469393,0.335814984386075,0.00561468668069354,0.655822620729601,0.0110000198419122
"6940","963.2.9",963,0.49692582569835,0.00866027950192802,18,44440,0.7,0.5,0.7,0.7,"0.38232147149791",0.00710849216620097,0.0781339631921128,0.00144848677599267,0.228414712079985,0.00426732553277374,0.534696119074544,0.00994532966552303
"6941","963.2.10",963,0.49692582569835,0.00866027950192802,18,44441,0.7,0.55,0.75,0.48,"0.539087214264313",0.00905806520775679,0.0952485532116525,0.00160607625285693,0.351048279747895,0.00589626181362266,0.724414698458081,0.0121919357090022
"6942","963.2.11",963,0.49692582569835,0.00866027950192802,18,44442,0.7,0.6,0.55,0.77,"1.50615838867456",0.0269099195998629,0.106908979437115,0.001922809936929,1.29612327738288,0.0231425022275882,1.71519439953434,0.0306796722853401
"6943","963.2.12",963,0.49692582569835,0.00866027950192802,18,44443,0.7,0.65,0.62,0.7,"0.466110811399584",0.00811555316791308,0.0947935976465499,0.00167836863943287,0.279458372227825,0.00482108139274,0.651048750132434,0.0114002823060621
"6944","963.2.13",963,0.49692582569835,0.00866027950192802,18,44444,0.7,0.7,0.81,0.62,"0.428201832430694",0.00727611149082198,0.0857884425482776,0.00146947837124856,0.259261158499658,0.00439193164008195,0.595557423105778,0.0101523925299662
"6945","963.2.14",963,0.49692582569835,0.00866027950192802,18,44445,0.7,0.75,0.48,0.55,"0.542357840008852",0.00910656379251585,0.0874110782571543,0.00148370638274097,0.370093956832235,0.00619188478672558,0.712738851470323,0.0120078923023974
"6946","964.2",964,0.465278149783264,0.00846527444501408,26,44446,0.7,0.05,0.63,0.1,"0.49751032196839",0.00969201207964317,0.100877201933173,0.00197594711028355,0.299136499951753,0.00581915681627215,0.694578703805623,0.013564952391073
"6947","964.2.1",964,0.465278149783264,0.00846527444501408,26,44447,0.7,0.1,0.48,0.03,"0.47065180940403",0.00907375807967577,0.104176438737617,0.00202124749773246,0.265737544071618,0.00511048089901304,0.674110890561334,0.0130338132648206
"6948","964.2.2",964,0.465278149783264,0.00846527444501408,26,44448,0.7,0.15,0.77,0.18,"0.434782631507966",0.00849842549829116,0.0989212717454368,0.00194362264982314,0.240355002220588,0.00469134049637022,0.628129855540976,0.0123104230779545
"6949","964.2.3",964,0.465278149783264,0.00846527444501408,26,44449,0.7,0.2,0.48,0.03,"0.471270100639671",0.00913346615309312,0.103581746964836,0.00201967526235489,0.267610432032407,0.00517514741406615,0.673652756986073,0.0130923214780981
"6950","964.2.4",964,0.465278149783264,0.00846527444501408,26,44450,0.7,0.25,0.81,0.23,"0.520943362179423",0.0100837673679418,0.112713269019711,0.00219678348224152,0.298944795795546,0.00576933532578688,0.740779831633389,0.0143807079386297
"6951","964.2.5",964,0.465278149783264,0.00846527444501408,26,44451,0.7,0.3,0.74,0.15,"0.395994136601135",0.0077623712306126,0.101116768221653,0.0019965387834966,0.197204169003471,0.00385042581192922,0.593584236327951,0.0116769155726969
"6952","964.2.6",964,0.465278149783264,0.00846527444501408,26,44452,0.7,0.35,0.53,0.4,"0.650727286488541",0.0128889098215295,0.120501126266444,0.00239620784664381,0.413754328913394,0.00818967565632589,0.886118207016554,0.0175828051490641
"6953","964.2.7",964,0.465278149783264,0.00846527444501408,26,44453,0.7,0.4,0.62,0.23,"0.579011300635371",0.0109048549400453,0.106659509764999,0.0020193853448557,0.369410483880662,0.00694849036192909,0.787518565260635,0.0148645451664349
