"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"2932","196.3.6",196,0.0703809607371503,0.00642945450521074,18,47932,0.3,0.35,0.4,0.42,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2933","196.3.7",196,0.0703809607371503,0.00642945450521074,18,47933,0.3,0.4,0.32,0.4,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2934","196.3.8",196,0.0703809607371503,0.00642945450521074,18,47934,0.3,0.45,0.3,0.37,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2935","196.3.9",196,0.0703809607371503,0.00642945450521074,18,47935,0.3,0.5,0.37,0.37,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2936","196.3.10",196,0.0703809607371503,0.00642945450521074,18,47936,0.3,0.55,0.55,0.52,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2937","196.3.11",196,0.0703809607371503,0.00642945450521074,18,47937,0.3,0.6,0.22,0.67,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2938","196.3.12",196,0.0703809607371503,0.00642945450521074,18,47938,0.3,0.65,0.14,0.7,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2939","196.3.13",196,0.0703809607371503,0.00642945450521074,18,47939,0.3,0.7,0.35,0.68,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2940","196.3.14",196,0.0703809607371503,0.00642945450521074,18,47940,0.3,0.75,0.3,0.87,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2941","197.3",197,0.227844753172341,0.0043626309260726,26,47941,0.3,0.05,0.2,0.07,"0.23154132465247",0.00494255476365416,0.0758596913676974,0.00162157522628529,0.0828237697128862,0.00178100469821997,0.380203536586901,0.00813783380124143
"2942","197.3.1",197,0.227844753172341,0.0043626309260726,26,47942,0.3,0.1,0.37,0.25,"0.243288006954612",0.00517155948320585,0.0770760263372042,0.0016402681227669,0.0922687176328218,0.00197507048040725,0.394418885990794,0.00840523003706042
"2943","197.3.2",197,0.227844753172341,0.0043626309260726,26,47943,0.3,0.15,0.42,0.13,"0.191074955171127",0.00410059494781756,0.0757240005726317,0.00163264549544457,0.0427421312204049,0.000920553157746234,0.339594767837677,0.00732089612169787
"2944","197.3.3",197,0.227844753172341,0.0043626309260726,26,47944,0.3,0.2,0.42,0.27,"0.207680633334087",0.00431003908926414,0.0719160993309503,0.0014934297671709,0.0666577970090421,0.00139809647636415,0.348579581872429,0.00725261263261062
"2945","197.3.4",197,0.227844753172341,0.0043626309260726,26,47945,0.3,0.25,0.27,0.2,"0.229262604572329",0.00489848814414821,0.0768141678972674,0.00164285529882702,0.0786806316638779,0.00169531542068838,0.379803283292661,0.0081355934631921
