"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no","...1"
"1456","propMissAct_0.66_autoCorr_0.5","phi",0.881519261040495,0.0256876196336418,0.829065025083498,0.88263572065123,0.928940124958987,"MAR","brms",6,NA
"1457","propMissAct_0.66_autoCorr_0.5","sigma",0.481250016155277,0.0231680202252395,0.438419252129915,0.480387970832236,0.529667092352062,"MAR","brms",6,NA
"1458","propMissAct_0.66_autoCorr_0.5","Intercept",0.600731183453194,0.16972189047602,0.249151293230246,0.607485361368519,0.918407745778747,"MAR","brms",6,NA
"1459","propMissAct_0.7_autoCorr_0.51","b_Intercept",-0.210497001114589,0.261509484392119,-0.761573828575905,-0.199980241365816,0.271229627472533,"MAR","brms",6,NA
"1460","propMissAct_0.7_autoCorr_0.51","b_light",0.682124477746136,0.217501997663415,0.251625327848813,0.68548006920423,1.10657279923616,"MAR","brms",6,NA
"1461","propMissAct_0.7_autoCorr_0.51","b_Q",-0.502059909310478,0.122225140646332,-0.74234111189684,-0.502858492334898,-0.263408003743747,"MAR","brms",6,NA
"1462","propMissAct_0.7_autoCorr_0.51","phi",0.905369896551864,0.0250731253616618,0.852265959199569,0.906612745922667,0.950067368325343,"MAR","brms",6,NA
"1463","propMissAct_0.7_autoCorr_0.51","sigma",0.472330366759659,0.0242675306584138,0.426702423392028,0.471446731634483,0.522338819190015,"MAR","brms",6,NA
"1464","propMissAct_0.7_autoCorr_0.51","Intercept",0.578892238700226,0.215453824726673,0.114395059758867,0.596161298276821,0.951392337993289,"MAR","brms",6,NA
"1465","propMissAct_0.77_autoCorr_0.48","b_Intercept",-0.318491653352173,0.210001082714825,-0.758040099080081,-0.311365865078712,0.0710961793992255,"MAR","brms",6,NA
"1466","propMissAct_0.77_autoCorr_0.48","b_light",0.973508637134295,0.242939248263709,0.506491259999512,0.970224300389598,1.45819418004727,"MAR","brms",6,NA
"1467","propMissAct_0.77_autoCorr_0.48","b_Q",-0.443322329563258,0.0968047879679362,-0.631677023125575,-0.44338265813855,-0.251742464375912,"MAR","brms",6,NA
"1468","propMissAct_0.77_autoCorr_0.48","phi",0.894811202011316,0.0270370619753424,0.838947403763,0.896480102176776,0.943746100924481,"MAR","brms",6,NA
"1469","propMissAct_0.77_autoCorr_0.48","sigma",0.388906356848405,0.0245397456871269,0.34541770954358,0.387579777319072,0.44014616152256,"MAR","brms",6,NA
"1470","propMissAct_0.77_autoCorr_0.48","Intercept",0.560971834554737,0.16322299777849,0.21366262146145,0.571587155239176,0.852001659298361,"MAR","brms",6,NA
"1471","propMissAct_0.11_autoCorr_0.58","b_Intercept",-0.443994716903361,0.181911390951953,-0.823406600483626,-0.438068564255945,-0.104466682887451,"MAR","brms",7,NA
"1472","propMissAct_0.11_autoCorr_0.58","b_light",0.815160062264382,0.119925899530747,0.580790952479278,0.815794279425264,1.05170807193757,"MAR","brms",7,NA
"1473","propMissAct_0.11_autoCorr_0.58","b_Q",-0.677993437302333,0.0608669967116071,-0.797175709546073,-0.67798064819391,-0.55741237121941,"MAR","brms",7,NA
"1474","propMissAct_0.11_autoCorr_0.58","phi",0.884973895218298,0.0205434575845727,0.843645899584931,0.885340644039828,0.924556769000334,"MAR","brms",7,NA
"1475","propMissAct_0.11_autoCorr_0.58","sigma",0.490623273567779,0.0139685705872609,0.464590090361949,0.490192657567018,0.519035727430875,"MAR","brms",7,NA
"1476","propMissAct_0.11_autoCorr_0.58","Intercept",0.569920843040695,0.163577950144012,0.223317371840142,0.578845498682432,0.873744023787454,"MAR","brms",7,NA
"1477","propMissAct_0.15_autoCorr_0.53","b_Intercept",-0.446432475709368,0.172508339637234,-0.802319976963897,-0.441116386828576,-0.121712661397791,"MAR","brms",7,NA
"1478","propMissAct_0.15_autoCorr_0.53","b_light",0.826479839596442,0.135025101357613,0.561115024048743,0.825553289299048,1.09162601039925,"MAR","brms",7,NA
"1479","propMissAct_0.15_autoCorr_0.53","b_Q",-0.692846764699816,0.0633112559805883,-0.815539039057742,-0.69363942719519,-0.567415061148898,"MAR","brms",7,NA
"1480","propMissAct_0.15_autoCorr_0.53","phi",0.879277884588492,0.0213624826803677,0.836246258070863,0.87947902686637,0.920637453622882,"MAR","brms",7,NA
"1481","propMissAct_0.15_autoCorr_0.53","sigma",0.492466832020842,0.0143918918272736,0.46511804118268,0.492109443704695,0.521848291151817,"MAR","brms",7,NA
"1482","propMissAct_0.15_autoCorr_0.53","Intercept",0.586482216017576,0.154640352822158,0.257460108902411,0.592895769386774,0.874458233927819,"MAR","brms",7,NA
"1483","propMissAct_0.22_autoCorr_0.62","b_Intercept",-0.377437121869384,0.20064482744167,-0.803509171392468,-0.368261780887604,0.00631955850958685,"MAR","brms",7,NA
"1484","propMissAct_0.22_autoCorr_0.62","b_light",0.800639777894758,0.122371103755329,0.561636352612945,0.800911392475395,1.03624348152906,"MAR","brms",7,NA
"1485","propMissAct_0.22_autoCorr_0.62","b_Q",-0.571767573728089,0.0562519166842397,-0.681767660347407,-0.57285896515547,-0.462172648311279,"MAR","brms",7,NA
"1486","propMissAct_0.22_autoCorr_0.62","phi",0.906290257127818,0.0187571089560574,0.869227884403456,0.906683650509364,0.943360425771581,"MAR","brms",7,NA
